QTYPE,bpw,group0
iq1_bn,404,12.462355
iq2_bn,404,12.710807
bf16,16.003397,404
iq6_k,6.630387,0
q6_K,6.567900,0.007630
q6_0,6.505413,0.008246
q5_1,6.005520,0.012270
iq5_k,5.505626,0.011223
q5_0,5.505626,0.014474
q5_K,5.505626,0.012825
iq5_ks,5.255679,0.012340
q4_1,5.005732,0.028467
iq4_k,4.505838,0.023680
iq4_nl,4.505838,0.030706
q4_0,4.505838,0.036685
q4_K,4.505838,0.029154
iq4_ks,4.255891,0.028465
iq4_xs,4.255891,0.030384
iq4_kss,4.005944,0.040517
iq4_kt,4.005944,0.037918
iq3_k,3.443564,0.078454
iq3_s,3.443564,0.083526
q3_K,3.443564,0.095297
iq3_ks,3.193617,0.109366
iq3_kt,3.131130,0.109231
iq3_xxs,3.068643,0.151447
iq2_kl,2.693723,0.243250
q2_K,2.631236,0.349580
iq2_k,2.381289,0.370610
iq2_ks,2.193829,0.501339
iq2_kt,2.131342,0.438016
iq1_kt,1.756422,0.800805
iq1_m,1.756422,1.203268
